NOTES FOR MIGRATION TEAM,Name,Description,Region,Type,City,Partners,Image 1,Image 2,Image 3,Image 4,Image 5,Library,Shop,Restaurant,Additional Restaurants ,Bar,Gym,Spa,Jacuzzi,Pool,Sauna ,Steam Room,Massage,Elevator,Laundry,Room Service,Meals Available,Food & Drink Description,WiFi,Phone Signal,Capacity,Year Built,Minimum Age,Check in Time,Check Out Time,Inspected by 1,Date 1,Inspection Notes 1,Inspected by 2,Date 2,Inspection Notes 2,Inspected by 3,Date 3,Inspection Notes 3,What we like about this hotel,We think its worth noting,Recommendations,Swooper,What they say about this accommodation,Video URL,FAQs,"Location
(Ground Accommodation only)",Breakfast End Time,"Check in Time
(with ranges)","Check Out Time
(with ranges)"
,B&B Cerro Castillo,"This B&B nestled in Villa Cerro Castillo, on the edge of the eponymous national park, offers an authentic slice of rural Patagonia. You'll stay in a cosy room with stunning views of Cerro Castillo and the Río Ibáñez. The refugio is well-equipped for adventurers, providing a convenient base for exploring the region's trekking, horseback riding, and climbing opportunities. Additional comforts include breakfast, Wi-Fi, and private parking, enhancing your stay in this picturesque area.",Aysen,Refugio,Villa Cerro Castillo,Senderos Aysen,https://imgix.swoop-patagonia.com/SWO_4_ALL_SydenyMiller_cerro-castill-bed-breakfast.jpeg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Bader Climber's Camp,Bader Climber's Camp is a remote campsite with no facilities and only a limited number of pitches. It can only be used when booked in advance with CONAF (the national park authority) and when hiking with a guide.,Torres del Paine,Camping,Torres del Paine,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Bahía Bustamante,"A wildlife haven well worth the four hour drive from Puerto Madryn. Escape to the wilderness, with no phone reception and only generator powered electricity. Explore petrified forests, endless beaches, and diverse marine life on foot, by horse and by boat.",Peninsula Valdes,Lodge,Bahía Bustamante,H&T,https://imgix.swoop-patagonia.com/HOTEL_4_HOTEL_PRIV_BahiaBustamente.jpg,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,No,No,No,No,No,No,Included,FALSE,Included,TRUE,"Breakfast, Lunch, Dinner, Snacks",,TRUE,TRUE,32,1950,,13:00:00,10:00:00,,,,,,,,,,,,,Peter StanleyJones,"Not even the roaring winds that swept along the coast during my stay at Bahia Bustamante could take away from how special this place is. In fact, it only added to the feeling of remoteness and the authenticity. You can really disconnect from everything here - physically and mentally - and that is rare these days!",,,,,13:00,10:00
,Barraco Lodge,"A unique and secluded refuge set in 150 acres of pristine rainforest overlooking glistening turquoise lakes and dramatic valleys. Ideally located for exploring the wild rivers, hidden waterfalls, forests and mountains of the Tagua Tagua National Park",CL Lakes,Luxury Lodge,Tagua Tagua National Park,Southbound,https://imgix.swoop-patagonia.com/HOTEL_4_Barraco-Lodge_RTD_header.jpg,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,No,No,No,No,No,No,No,FALSE,No,FALSE,"Breakfast, Lunch, Dinner, Snacks",,FALSE,FALSE,16,,,15:30:00,08:00:00,,,,,,,,,,,,,Peter StanleyJones,"Barracco lodge epitomises rustic luxury in a stunning and remote Southern corner of the Lake District. Their ethos is to make guests feel like they are visiting a hospitable friend's house where the hospitality is informal and limitless. For the adventurous, days can be filled with hiking, paddle boarding, horseback riding, fly-fishing and mountain biking. Barraco Lodge is a hidden gem!",,,,,15:30 to 20:00,08:00 - 11:30
,BordeBaker Lodge,"Seven exquisitely designed cabins perched atop the banks of the Baker River make up BordeBaker Lodge, surrounded by southern beech forest and connected by wooden walkways. The striking architecture of the self-contained wooden cabins perfectly compliments the natural setting. Listen to the rush of the river and the whip of the wind while relaxing in your spacious bedroom with a woodburner. Enjoy total privacy or get to know other guests in the communal 'Casona' with floor-to-ceiling windows and spectacular mountain views, unwinding after a day's hiking, rafting, kayaking, fishing or boat tripping.",Aysen,Lodge,Cochrane,Senderos Aysen,https://imgix.swoop-patagonia.com/SWO_3_ALL_HarrietPike-Borderbaker-lodge-aysen.JPG,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Cabo de Hornos,"A centrally-located hotel, right on the main square, with views of the Magellan Strait. It's a five-minute walk from the bus station, port, and main high street for restaurants. Cabo de Hornos has a polished, business-like feel to it and is a perfect base for those looking for something classic and comfortable. The food is not outstanding, but there are lots of other options on your doorstep.",Torres del Paine,Premium Hotel,Punta Arenas,,https://imgix.swoop-patagonia.com/HOTEL_3_HOTEL_PRIV_Cabo_de_Hornos.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Cacique Inacayal Lake & Spa Hotel,"You’re located right on the lakefront, with the ground-floor rooms given direct access to the grassy lawn and stony beachfront, where both hotel guests and the local birdlife congregate. Rooms are equipped with designer furniture, WiFi, minibar, TV, digital safe and a modern bathroom. There is a good pool and extensive breakfast. Downtown is just 10 minutes walk away.",Arg Lakes,Premium Hotel,Bariloche ,AndesTrack,https://imgix.swoop-patagonia.com/SWO_3_RTD_Cacique-Inacayal-.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Caleta Gonzalo Lodge,"Caleta Gonzalo Lodge is home to a series of simple but very cosy wooden cabins with balconies tucked into the forest and looking out over the fjords, allowing you to wake to the sound of birdsong and watch dolphins from your bed. Home-cooked food is served in the restaurant, with vegetables grown in the lodge’s garden. The lodge backs straight onto the Cascadas Trail, making it a perfect place for hikers.",CL Lakes,Lodge,Pumalín Douglas Tompkins National Park,Southbound,https://imgix.swoop-patagonia.com/SWO_4_ALL_HarrietPike_Caleta-Gonzalo-lodge-Pumalin.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Campamento Torres,"Campmento Torres is one of three campsites in Torres del Paine maintained by CONAF, the national park authority. It's not in proximity to any refugios, so you have nature all to yourself. When operating, the campsite must be booked in advance. Only simple facilities are on offer: wood platforms for pitching tents, cooking shelter and a long-drop toilet. There are no showers.",Torres del Paine,Camping,Torres del Paine,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Carpa Manzano,"Clean and comfortable, the Carpa Manzano offers few surprises, as would be expected at this price point. Guests, however, repeatedly note the particularly helpful staff that work here. It is a little out of town – fifteen minutes from the main square and a fifteen-minute drive from the airport. The dining area is lovely and open, with views over the town. Although the rooms are basic, they have everything you need.",Torres del Paine,Standard Hotel,Punta Arenas,,https://imgix.swoop-patagonia.com/Carpa_Manzano_Standard_Double.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Casa Kalfu,"Casa Kalfu celebrates and embodies the local architectural tradition. The hotel is well located in a quiet area, about 10mins walk from the town. There's a comfortable lounge and 14 guest rooms, though there no views of the lake or volcano. This place is best suited to families rather than groups of friends. Kalfu means blue in the language of the Mapuche people who have inhabited the region for centuries.",CL Lakes,Standard Hotel,Puerto Varas,Birds Chile,https://imgix.swoop-patagonia.com/SWO_3_CHLOEM_ALL_Casa-Kalfu.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Casa Solaria,"Hotel Casa Solaria features accommodation with a terrace, free private parking and a bar. This 4-star hotel offers room service, a 24-hour front desk and free WiFi. The property is non-smoking and is located 22km from Ojos del Caburgua Waterfall while Villarrica National Park is 10 km from the property. At the hotel, all rooms include a wardrobe. Complete with a private bathroom fitted with a shower and free toiletries, the rooms have a flat-screen TV and air conditioning, and certain rooms are fitted with a balcony. At the accommodation rooms have bed linen and towels.",CL Lakes,Premium Hotel,Pucon,Birds Chile,https://imgix.swoop-patagonia.com/SWO_4_RTD_Casa-Solaria.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Casa Sur Recoleta,"The sister property of the Casa Sur in Palermo, this is our top boutique hotel in Recoleta, situated right in the centre of the district. It is artistic, characterful, and close to the buzzing restaurants and parks of Recoleta.",Buenos Aires,Premium Boutique Hotel,Buenos Aires,H&T,https://imgix.swoop-patagonia.com/HOTEL_4_HOTEL_RTD_Casa_Sur_Recoleta.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Castillo Rojo,"As the name suggests, this castle looking building, looks like something out of a fairytale with turrets and balconies. Recently restored and open for just one year, the interior of this building restains all of its original charm original features, antiques and furniture made and sourced in Chile. The rooms vary in size, but all offer character and comfort.",Santiago,Boutique Hotel,Santiago,Southbound,https://imgix.swoop-patagonia.com/CastilloRojo-Santiago.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Chaltén Camp,"Set in a secluded location, several kilometres from town, this camp accommodates 18 guests. Accommodation is is cosy, modern, eco-friendly geodesic domes with stunning views of Mt Fitz Roy. You’ll feel that you’re sleeping in the wild, but with all the comfort of a hotel room. Meals are served in the large main dome which is also a great place in which to relax and meet other travellers.",Los Glaciares,Glamping,El Chalten,Walk Patagonia,https://imgix.swoop-patagonia.com/ChaltenCamp_4_RTD_Domes-aerial.jpg,https://imgix.swoop-patagonia.com/ChaltenCamp_4_RTD_faysonmerege4.jpg,https://imgix.swoop-patagonia.com/SWO_5_ALL_DannyMiddleton_Chalten-Camp-no-caption.jpg,https://imgix.swoop-patagonia.com/ChaltenCamp_4_RTD_faysonmerege5.jpg,https://imgix.swoop-patagonia.com/ChaltenCamp_4_RTD_kuhrmarvin3.jpg,FALSE,FALSE,TRUE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,"Breakfast, Lunch, Dinner, Snacks",,TRUE,FALSE,18,1940,,15:00:00,10:00:00,Marcela,2025-03-01,,Harriet,2025-03-01,,Danny,2023-03-01,,"<ul><li>The camp is in a secluded location - only 18 guests can stay here at a time so you'll be well away from the crowds.</li><li>Stay in a cosy, modern, eco-friendly, geodesic dome.</li><li>You’ll feel that you are sleeping in the wild, but with all the comfort of a hotel room.</li><li>There is no other accommodation like it in El Chaltén</li><li>Savour views of the magnificent Fitz Roy which presents stunning dawn photo opportunities.</li><li>The food is tasty, nourishing and freshly prepared each day.</li></ul>",<ul><li>If you don’t have transport it can be expensive to get a taxi into town. You also have to book a day in advance as there are not many.&nbsp;</li><li>Domes can get cold when the log burner is not going (you need to know how to maintain it).</li><li>They can also get battered by the wind which can be noisy during the night.</li></ul><div><br></div>,,Sydney Miller,"With the creek nearby, and the solitude, you can sit and watch sunset and sunrise at your leisure and listen to the trickle of water and tiny chirping birds. I also LOVED the hot water bottles provided for those fresh Patagonian mornings.",https://www.youtube.com/watch?v=FE2PTlQSGmo,,,,15:00,10:00
,Chaltén Suites,"The Chaltén Suites is situated on the main street in town and has everything you'd need close by. It has a higher standard and level of comfort than most in town, with spacious rooms and friendly staff. A perfect base if you are staying in El Chaltén for more than a couple of days.",Los Glaciares,Premium Hotel,El Chalten,Walk Patagonia,https://imgix.swoop-patagonia.com/HOTEL_3_HOTEL_PRIV_Chalten_Suites.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Cilene del Faro,"Made up of 48 spacious and modern apartments, this option is great for those who want a bit more space. The apartments have kitchenettes giving you freedom to cook when and what you want. The location is good again - a few metres from the Beagle Channel and Ushuaia's museums. You can enjoy a drink from the bar at the top of the hotel with panoramic views. Guests also have access to an exclusive spa and swimming pool giving the chance to unwind.",Tierra del Fuego,Standard Hotel,Ushuaia,Tierra Turismo,https://imgix.swoop-patagonia.com/HOTEL_3_HOTEL_PRIV_CileneDelFaro.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Cilene del Fuego Suites & Spa,"Smart, clean, apartment-style accommodation with wonderful views of the Beagle Channel and the mountains. Their suites provide more space and amenities than a traditional hotel room. The hotel boasts a central location just off the main street, Avenida San Martín. This puts you within easy walking distance of shops, restaurants, and the marina. The spa has a big indoor heated pool, sauna (for 2 or 3 people), and small gym. Very nice after an active day in Tierra del Fuego!",Tierra del Fuego,Premium Hotel,Ushuaia,Tierra Turismo,https://imgix.swoop-patagonia.com/RTD_Cilene-Ushuaia.jpeg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Continental 725,"If your stopover is brief in the city then this hotel is a good choice. Located right in the centre with stunning views from its rooftop pool bar, it's a two minute walk from the main historic sights and right in the thick of the hustle and bustle that drives this city.",Buenos Aires,Premium Hotel,Buenos Aires,H&T,https://imgix.swoop-patagonia.com/HOTEL_4_HOTEL_RTD_Contintal725.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Correntoso Hotel,"With one of the best pools in the region and a super lakeside location, Correntoso is one to check out. Most of the rooms have large windows offering great views of the lake and there are lots of areas to relax around the hotel. They also have a private boat and do live music at the lakeside restaurant once a week.",Arg Lakes,Premium Hotel,Villa La Angostura,Andestrack,https://imgix.swoop-patagonia.com/HOTEL_4_HOTEL_PRIV_Luxury_Rio_Correntoso_spa.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Coyhaique River Lodge,"This charming retreat blends comfort with adventure in Patagonia's pristine wilderness. Double and single rooms both have a luxurious yet homey feel, set against the scenic river valley surroundings. You can unwind in the common areas or treat yourself with onsite restaurant dining, a hot tub, and available massages. The lodge also boasts an inviting lounge with a fireplace, perfect for relaxing after a day's adventure. From December to March, they offer all-inclusive, week-long stays that let you truly disconnect and explore beautiful Aysen.",Aysen,Luxury Lodge,Coyhaique,Senderos Aysen,https://imgix.swoop-patagonia.com/Coyhaique-River-Lodge_4_RTD_Hotel-exterior.jpeg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Dazzler,"Clean and comfortable, with excellent views of the Golfo Nuevo, the Dazzler is well situated in the heart of town, right on the sea front. It has free wifi as well as a fitness centre and spa. The best rooms are on the higher floors, with balconies to allow you to fully appreciate those sunsets over the bay.",Peninsula Valdes,Standard Hotel,Puerto Madryn,Causana Viaje,https://imgix.swoop-patagonia.com/HTL_3_HTL_RTD_MADRYNDAZZLER.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
,Dazzler Palermo,"Large, functional and well located, this hotel offers a great low cost offer in Palermo whilst still offering clean, spacious and private rooms. There is an outdoor pool and a large, bright dining area where breakfast is served. As with any large hotel, it offers the usual services which aren't always available in the smaller boutique hotels. This hotel is great for those on a limited budget still looking to get under the skin of trendy Palermo.",Buenos Aires,Standard Hotel,Buenos Aires,H&T,https://imgix.swoop-patagonia.com/HT_5_HT_ALL_Dazzler_Palermo.jpg,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,No,No,No,No,No,No,No,FALSE,No,FALSE,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
